rayon;metro
Донской;Ленинский проспект
Арбат;Арбатская
Аэропорт;Аэропорт
Тверской;Белорусская
Академический;Академическая
Филёвский Парк;Багратионовская
Нагорный;Нагатинская
Южнопортовый;Волгоградский проспект
Царицыно;Царицыно
Замоскворечье;Добрынинская
Новогиреево;Новогиреево
Северное Бутово;Бульвар Дмитрия Донского
Лефортово;Авиамоторная
Басманный;Бауманская
Хамовники;Кропоткинская
Выхино-Жулебино;Выхино
Крылатское;Крылатское
Южное Бутово;Бульвар адмирала Ушакова
Войковский;Войковская
Таганский;Марксистская
Фили-Давыдково;Кунцевская
Алексеевский;Алексеевская
Покровское-Стрешнево;Спартак
Преображенское;Черкизовская
Нагатино-Садовники;Коломенская
Дорогомилово;Киевская
Чертаново Южное;Аннино
Красносельский;Красные ворота
Чертаново Центральное;Пражская
Бибирево;Алтуфьево
Пресненский;Деловой центр
Раменки;Университет
Мещанский;Кузнецкий мост
Северное Тушино;Планерная
Богородское;Бульвар Рокоссовского
Орехово-Борисово Южное;Домодедовская
Коньково;Беляево
Митино;Митино
Ясенево;Ясенево
Северное Медведково;Медведково
Тёплый Стан;Коньково
Тропарёво-Никулино;Тропарёво
Измайлово;Измайловская
Левобережный;Речной вокзал
Северное Измайлово;Щелковская
Черёмушки;Новые Черемушки
Строгино;Строгино
Савёловский;Дмитровская
Головинский;Водный стадион
Даниловский;Автозаводская
Свиблово;Ботанический сад
Марьино;Братиславская
Обручевский;Калужская
Бутырский;Тимирязевская
Гагаринский;Воробьевы горы
Якиманка;Октябрьская
Отрадное;Отрадное
Зюзино;Нахимовский проспект
Зябликово;Красногвардейская
Кузьминки;Кузьминки
Кунцево;Молодежная
Останкинский;ВДНХ
Печатники;Печатники
Тимирязевский;Окружная
Новокосино;Новокосино
Бабушкинский;Бабушкинская
Нижегородский;Нижегородская
Люблино;Люблино
Братеево;Алма-Атинская
Бескудниковский;Селигерская
Солнцево;Саларьево
Южное Тушино;Сходненская
Соколиная гора;Шоссе Энтузиастов
Хорошёвский;Хорошевская
Щукино;Октябрьское поле
Рязанский;Рязанский проспект
Ховрино;Ховрино
Внуково;Рассказовка
Ново-Переделкино;Новопеределкино
Марьина Роща;Марьина роща
Чертаново Северное;Южная
Текстильщики;Текстильщики
Орехово-Борисово Северное;Орехово
Сокольники;Сокольники
Очаково-Матвеевское;Озерная
Западное Дегунино;Верхние Лихоборы
Косино-Ухтомский;Лухмановская
Донской;Спортивная
Арбат;Баррикадная
Филёвский Парк;Славянский бульвар
Нагорный;Нагорная
Южнопортовый;Волжская
Царицыно;Цветной бульвар
Замоскворечье;Полянка
Басманный;Китай-город
Хамовники;Парк культуры
Алексеевский;Улица 1905 года
Преображенское;Чертановская
Дорогомилово;Кутузовская
Красносельский;Крестьянская застава
Чертаново Центральное;Преображенская площадь
Тропарёво-Никулино;Трубная
Строгино;Студенческая
Савёловский;Петровско-Разумовская
Гагаринский;Выставочная
Якиманка;Фрунзенская
Зябликово;Краснопресненская
Нижегородский;Стахановская
Люблино;Марьино
Южное Тушино;Таганская
Щукино;Полежаевская
Внуково;Солнцево
Ново-Переделкино;Боровское шоссе
Текстильщики;Теплый Стан
Косино-Ухтомский;Некрасовка
Арбат;Театральная
Аэропорт;Сокол
Тверской;Жулебино
Филёвский Парк;Филевский парк
Южнопортовый;Волоколамская
Замоскворечье;Серпуховская
Лефортово;Новохохловская
Выхино-Жулебино;Юго-Западная
Алексеевский;Фонвизинская
Покровское-Стрешнево;Сретенский бульвар
Преображенское;Чеховская
Дорогомилово;Парк Победы
Чертаново Южное;Улица Скобелевская
Чертаново Центральное;Пролетарская
Северное Тушино;Тушинская
Тропарёво-Никулино;Тульская
Измайлово;Кантемировская
Строгино;Сухаревская
Головинский;Верхние Котлы
Якиманка;Шаболовская
Зябликово;Красносельская
Бабушкинский;Свиблово
Южное Тушино;Тверская
Щукино;Щукинская
Ховрино;ЦСКА
Внуково;Коммунарка
Текстильщики;Технопарк
Косино-Ухтомский;Улица Дмитриевского
